location,normalized_name,mentions
CATACOMBS,Catacombs,18
CHROMATIC,Chromatic,14
THE,The,10
CHROMATIC CATACOMBS,Chromatic Catacombs,7
city,City,7
the wall,The Wall,7
the catacombs,The Catacombs,6
The mural,The Mural,5
sanctuary,Sanctuary,4
THE CHROMATIC CATACOMBS,The Chromatic Catacombs,4
mural,Mural,3
the tunnels,The Tunnels,3
the catacomb walls,The Catacomb Walls,3
STREET ARTIST,Street Artist,3
STREET,Street,3
Beacon of Rebellion,Beacon Of Rebellion,2
the shaft,The Shaft,2
the metal floor,The Metal Floor,2
The crystallized data remnants,The Crystallized Data Remnants,2
the wider corridor,The Wider Corridor,2
a narrow maintenance shaft,A Narrow Maintenance Shaft,2
Sector seven,Sector Seven,2
These walls,These Walls,2
labyrinth,Labyrinth,2
the whole city,The Whole City,2
The room,The Room,2
the corridor,The Corridor,2
The bioluminescent walls,The Bioluminescent Walls,2
The compound,The Compound,2
home,Home,2
a wider corridor,A Wider Corridor,2
The heavy metal doors,The Heavy Metal Doors,2
her hiding spot,Her Hiding Spot,2
the circle,The Circle,2
quantum server stacks,Quantum Server Stacks,2
The peaceful sanctuary,The Peaceful Sanctuary,2
the rainbow haze,The Rainbow Haze,2
The lights,The Lights,1
their underground sanctuary,Their Underground Sanctuary,1
detention centers,Detention Centers,1
quantum-charged air,Quantum-Charged Air,1
quantum-charged atmosphere,Quantum-Charged Atmosphere,1
the digital city,The Digital City,1
old server blocks,Old Server Blocks,1
New Singapore,New Singapore,1
workspace,Workspace,1
THE PERCEPTION FACTORY,The Perception Factory,1
trails,Trails,1
MEDITATION POD,Meditation Pod,1
world,World,1
The quantum remnants,The Quantum Remnants,1
community,Community,1
space,Space,1
The crystallized data remnants in the walls,The Crystallized Data Remnants In The Walls,1
quantum corridors,Quantum Corridors,1
The Beacon of Rebellion,The Beacon Of Rebellion,1
The city,The City,1
the old city,The Old City,1
where the colors merge,Where The Colors Merge,1
Marina Bay,Marina Bay,1
the jar of torn posters,The Jar Of Torn Posters,1
the cavernous space,The Cavernous Space,1
old city,Old City,1
blank section of wall,Blank Section Of Wall,1
district,District,1
platform,Platform,1
column,Column,1
crystallized data column,Crystallized Data Column,1
right here,Right Here,1
the circle of artists,The Circle Of Artists,1
here,Here,1
hidden passage,Hidden Passage,1
the dark corridor,The Dark Corridor,1
the glowing wall,The Glowing Wall,1
the entire corridor,The Entire Corridor,1
rainbow sky,Rainbow Sky,1
her mural,Her Mural,1
wall,Wall,1
blank wall,Blank Wall,1
digital wilderness,Digital Wilderness,1
the maze,The Maze,1
prismatic space,Prismatic Space,1
amber-lit tunnel,Amber-Lit Tunnel,1
intersection,Intersection,1
Left tunnel,Left Tunnel,1
humming floor,Humming Floor,1
center path,Center Path,1
the right corridor,The Right Corridor,1
the center path,The Center Path,1
The left tunnel,The Left Tunnel,1
server block D,Server Block D,1
tunnels,Tunnels,1
ancient machinery,Ancient Machinery,1
the paint curtain,The Paint Curtain,1
the cool wall,The Cool Wall,1
In broad daylight,In Broad Daylight,1
My whole block,My Whole Block,1
The server racks,The Server Racks,1
circle,Circle,1
the corner,The Corner,1
The quantum phenomena,The Quantum Phenomena,1
our stage,Our Stage,1
an old server rack,An Old Server Rack,1
The crystallized data fragments,The Crystallized Data Fragments,1
hidden sanctuary,Hidden Sanctuary,1
her hidden refuge,Her Hidden Refuge,1
a hidden chamber,A Hidden Chamber,1
Home sweet home,Home Sweet Home,1
The panel,The Panel,1
maintenance shaft,Maintenance Shaft,1
east corridor,East Corridor,1
hidden panel,Hidden Panel,1
the shadows,The Shadows,1
passage,Passage,1
The walls,The Walls,1
