role,character,mentions
Main,Phoenix,282
Main,ZARA,78
Main,RORY,70
Supporting,ENFORCER,23
Supporting,ARTIST,13
Supporting,MAYA,11
Supporting,NIGHT,10
Supporting,ARTISTS,10
Supporting,enforcers,8
Supporting,KAI,7
Supporting,The artists,6
Supporting,MARCUS,6
Supporting,her mother,5
Minor,ELDERLY ARTIST,5
Minor,ELDERLY,5
Minor,SENNA,5
Minor,YOUNG,5
Minor,Mom,4
Minor,BLACK,4
Minor,The enforcer,3
Minor,UNDERGROUND,3
Minor,SHATTERING,2
Minor,LED,2
Minor,OUT,2
Minor,Every artist,2
Minor,child,2
Minor,Your mother,2
Minor,My mother,2
Minor,The gathered artists,2
Minor,Each of us,2
Minor,A young artist,2
Minor,YOUNG ARTIST,2
Minor,YOUNG PAINTER,2
Minor,PAINTER,2
Minor,BOOM,2
Minor,The enforcers,2
Minor,UV,1
Minor,SHATTERS,1
Minor,CLANG,1
Minor,ENFORCER 2,1
Minor,HISS,1
Minor,BEEP,1
Minor,HUM,1
Minor,My cousin,1
Minor,lone wolf,1
Minor,My brother,1
Minor,The elderly artist,1
Minor,Phoenix Chen,1
Minor,DISSIDENT,1
Minor,Hope,1
Minor,every child,1
Minor,Several artists,1
Minor,my grandmother,1
Minor,The young artist,1
Minor,my children,1
Minor,A young boy,1
Minor,YOUNG BOY,1
Minor,BOY,1
Minor,my mom,1
Minor,The boy,1
Minor,The underground artists,1
Minor,For my mother,1
Minor,One artist,1
Minor,An older artist,1
Minor,OLDER,1
Minor,PERCEPTION,1
Minor,FACTORY,1
Minor,MEDITATION,1
Minor,POD,1
