character1,character2,co_occurrences
Phoenix,ZARA,8
ZARA,Phoenix,8
ELDERLY ARTIST,ELDERLY,5
ELDERLY ARTIST,ARTIST,5
ELDERLY,ELDERLY ARTIST,5
ELDERLY,ARTIST,5
ARTIST,ELDERLY ARTIST,5
ARTIST,ELDERLY,5
NIGHT,Phoenix,4
BLACK,Phoenix,4
Phoenix,NIGHT,4
Phoenix,BLACK,4
ENFORCER,Phoenix,3
UNDERGROUND,ARTISTS,3
ARTISTS,UNDERGROUND,3
ARTIST,YOUNG,3
RORY,Phoenix,3
YOUNG,ARTIST,3
Phoenix,ENFORCER,3
Phoenix,RORY,3
NIGHT,ARTISTS,2
NIGHT,ELDERLY ARTIST,2
NIGHT,ELDERLY,2
NIGHT,ARTIST,2
enforcers,BOOM,2
LED,Phoenix,2
ARTISTS,NIGHT,2
ELDERLY ARTIST,NIGHT,2
ELDERLY,NIGHT,2
ARTIST,NIGHT,2
ARTIST,YOUNG ARTIST,2
MAYA,Phoenix,2
RORY,ZARA,2
YOUNG ARTIST,ARTIST,2
YOUNG ARTIST,YOUNG,2
YOUNG,YOUNG ARTIST,2
YOUNG PAINTER,PAINTER,2
PAINTER,YOUNG PAINTER,2
BOOM,enforcers,2
MARCUS,Phoenix,2
Phoenix,LED,2
Phoenix,MAYA,2
Phoenix,MARCUS,2
ZARA,RORY,2
NIGHT,OUT,1
NIGHT,BLACK,1
NIGHT,UNDERGROUND,1
NIGHT,PERCEPTION,1
NIGHT,FACTORY,1
NIGHT,MEDITATION,1
