character,normalized_name,mentions
Phoenix,Phoenix,282
ZARA,Zara,78
RORY,Rory,70
ENFORCER,Enforcer,23
ARTIST,Artist,13
MAYA,Maya,11
ARTISTS,Artists,10
NIGHT,Night,10
enforcers,Enforcers,8
KAI,Kai,7
The artists,The Artists,6
MARCUS,Marcus,6
ELDERLY,Elderly,5
YOUNG,Young,5
SENNA,Senna,5
her mother,Her Mother,5
ELDERLY ARTIST,Elderly Artist,5
BLACK,Black,4
Mom,Mom,4
The enforcer,The Enforcer,3
UNDERGROUND,Underground,3
YOUNG ARTIST,Young Artist,2
SHATTERING,Shattering,2
Every artist,Every Artist,2
child,Child,2
My mother,My Mother,2
Your mother,Your Mother,2
BOOM,Boom,2
YOUNG PAINTER,Young Painter,2
The enforcers,The Enforcers,2
A young artist,A Young Artist,2
The gathered artists,The Gathered Artists,2
Each of us,Each Of Us,2
OUT,Out,2
PAINTER,Painter,2
LED,Led,2
UV,Uv,1
Phoenix Chen,Phoenix Chen,1
DISSIDENT,Dissident,1
My brother,My Brother,1
The elderly artist,The Elderly Artist,1
My cousin,My Cousin,1
lone wolf,Lone Wolf,1
BEEP,Beep,1
HUM,Hum,1
HISS,Hiss,1
ENFORCER 2,Enforcer 2,1
CLANG,Clang,1
SHATTERS,Shatters,1
my grandmother,My Grandmother,1
Several artists,Several Artists,1
Hope,Hope,1
every child,Every Child,1
The boy,The Boy,1
my mom,My Mom,1
BOY,Boy,1
YOUNG BOY,Young Boy,1
A young boy,A Young Boy,1
my children,My Children,1
The young artist,The Young Artist,1
The underground artists,The Underground Artists,1
One artist,One Artist,1
For my mother,For My Mother,1
An older artist,An Older Artist,1
OLDER,Older,1
FACTORY,Factory,1
PERCEPTION,Perception,1
POD,Pod,1
MEDITATION,Meditation,1
