importance,location,mentions
Main,CATACOMBS,18
Main,CHROMATIC,14
Main,THE,10
Secondary,STREET ARTIST,3
Secondary,STREET,3
Secondary,Sector seven,2
Secondary,Chromatic Catacombs,2
Secondary,catacomb walls,2
Secondary,center path,1
Secondary,intersection,1
Secondary,amber-lit tunnel,1
Secondary,blank wall,1
Secondary,The mural,1
Secondary,rainbow sky,1
Secondary,hidden passage,1
Secondary,east corridor,1
Secondary,corner,1
Secondary,workspace,1
Secondary,the tunnels,1
Secondary,underground night,1
Secondary,column,1
Secondary,platform,1
Secondary,Marina Bay,1
Secondary,city,1
