location,normalized_name,mentions
CATACOMBS,Catacombs,18
CHROMATIC,Chromatic,14
THE,The,10
STREET ARTIST,Street Artist,3
STREET,Street,3
Chromatic Catacombs,Chromatic Catacombs,2
catacomb walls,Catacomb Walls,2
Sector seven,Sector Seven,2
blank wall,Blank Wall,1
amber-lit tunnel,Amber-Lit Tunnel,1
intersection,Intersection,1
center path,Center Path,1
The mural,The Mural,1
rainbow sky,Rainbow Sky,1
hidden passage,Hidden Passage,1
east corridor,East Corridor,1
underground night,Underground Night,1
the tunnels,The Tunnels,1
workspace,Workspace,1
corner,Corner,1
city,City,1
Marina Bay,Marina Bay,1
platform,Platform,1
column,Column,1
