scene_number,scene_text,characters,locations
1,"INT. THE CHROMATIC CATACOMBS - NIGHT
Shadows dance across the crystalline walls, casting rainbow ref...","Phoenix, NIGHT","CHROMATIC, CATACOMBS, THE"
2,Heavy footsteps echo through the corridor. The metallic clink of enforcer badges grows closer.,,
3,Phoenix's fingers trace the fresh paint on the wall beside her -- a vibrant mural of breaking chains...,Phoenix,
4,"ENFORCER (O.S.)
Sector seven clear. Moving to--",ENFORCER,Sector seven
5,"A loose crystal drops from above, SHATTERING against the metal floor. The footsteps stop.",SHATTERING,
6,"ENFORCER (O.S.)
What was that?",ENFORCER,
7,Phoenix's eyes dart between two possible escape routes -- a narrow maintenance shaft to her left and...,Phoenix,
8,"She takes a deep breath, her freckles beginning to glow brighter with rising adrenaline. The enforce...",The enforcer,
9,"Phoenix bursts from behind the server, sprinting toward the wider corridor. Her paint-splattered hoo...",Phoenix,
10,"2.
ENFORCER
Stop! In violation of Creative Suppression Act 2.7!",ENFORCER,
11,"Phoenix vaults over a fallen cooling unit, her movements fluid and practiced. The enforcer's heavy b...","Phoenix, ENFORCER",
12,"Her hair streams behind her, the colored streaks seeming to leave trails in the phosphorescent air. ...",,
13,"ENFORCER
All units! Target heading east through server block D!",ENFORCER,
14,"Phoenix's sneakers barely touch the ground as she races deeper into the catacombs, the rainbow refle...",Phoenix,CATACOMBS
15,She reaches a junction where the catacombs split into three paths. The left tunnel glows with an eer...,,
16,"Phoenix pulls out a small UV marker, quickly drawing a luminescent arrow that points right but glows...","Phoenix, UV",
17,"ENFORCER (O.S.)
(getting closer)",ENFORCER,
18,Block all exits! She's here somewhere!,,
19,"Phoenix dashes down the center path, her footsteps silent against the humming floor. Behind her, the...",Phoenix,center path
20,"3.
ENFORCER
Left tunnel! Move in!",ENFORCER,
21,The sound of boots echoes from multiple directions now. Phoenix presses herself against a wall cover...,Phoenix,intersection
22,"PHOENIX
(whispering to herself)",Phoenix,
23,Art of misdirection.,,
24,"She slips away down the amber-lit tunnel, her movements fluid like water through the prismatic space...",The enforcer,amber-lit tunnel
25,"Phoenix reaches into her pocket, retrieving a handful of bioluminescent paint capsules. As she runs,...",Phoenix,
26,"The capsules burst on impact, their glow mixing with the natural light show of the catacombs. Phoeni...",Phoenix,
27,"INT. THE CHROMATIC CATACOMBS - NIGHT
Shadows dance across the crystalline walls, casting rainbow ref...","Phoenix, NIGHT","CHROMATIC, CATACOMBS, THE"
28,Heavy footsteps echo through the corridor. The metallic clink of enforcer badges grows closer.,,
29,Phoenix's fingers trace the fresh paint on the wall beside her -- a vibrant mural of breaking chains...,Phoenix,
30,"4.
ENFORCER (O.S.)
Sector seven clear. Moving to--",ENFORCER,Sector seven
31,"A loose crystal drops from above, SHATTERING against the metal floor. The footsteps stop.",SHATTERING,
32,"ENFORCER (O.S.)
What was that?",ENFORCER,
33,Phoenix's eyes dart between two possible escape routes -- a narrow maintenance shaft to her left and...,Phoenix,
