character,normalized_name,mentions
Phoenix,Phoenix,356
Zara,Zara,92
RORY,Rory,70
ENFORCER,Enforcer,25
ARTISTS,Artists,19
ARTIST,Artist,12
The artists,The Artists,11
MAYA,Maya,11
NIGHT,Night,10
enforcers,Enforcers,10
KAI,Kai,8
SENNA,Senna,6
MARCUS,Marcus,6
The enforcer,The Enforcer,6
mother,Mother,6
YOUNG,Young,5
ELDERLY,Elderly,5
ELDERLY ARTIST,Elderly Artist,5
her mother,Her Mother,5
BLACK,Black,4
YOUNG ARTIST,Young Artist,4
underground,Underground,4
the gathered artists,The Gathered Artists,4
Mom,Mom,4
The enforcers,The Enforcers,4
PAINTER,Painter,3
Every artist,Every Artist,3
the other artists,The Other Artists,3
OUT,Out,2
SHATTERING,Shattering,2
A young artist,A Young Artist,2
LED,Led,2
Your mother,Your Mother,2
My mother,My Mother,2
The assembled artists,The Assembled Artists,2
BOOM,Boom,2
my mom,My Mom,1
The boy,The Boy,1
A young boy,A Young Boy,1
BOY,Boy,1
YOUNG BOY,Young Boy,1
my children,My Children,1
His gnarled hands,His Gnarled Hands,1
The underground artists,The Underground Artists,1
I hear you,I Hear You,1
the others,The Others,1
YOUNG PAINTER,Young Painter,1
two enforcers,Two Enforcers,1
One artist,One Artist,1
UV,Uv,1
An older artist,An Older Artist,1
OLDER ARTIST,Older Artist,1
OLDER,Older,1
PERCEPTION,Perception,1
FACTORY,Factory,1
MEDITATION,Meditation,1
POD,Pod,1
to herself,To Herself,1
Target,Target,1
The young artist,The Young Artist,1
another,Another,1
my grandmother,My Grandmother,1
45,45,1
previous artists,Previous Artists,1
HUM,Hum,1
BEEP,Beep,1
HISS,Hiss,1
My cousin,My Cousin,1
ENFORCER 2,Enforcer 2,1
child,Child,1
lone wolf,Lone Wolf,1
CLANG,Clang,1
My brother,My Brother,1
dreamers,Dreamers,1
fighters,Fighters,1
The elderly artist,The Elderly Artist,1
older woman,Older Woman,1
SHATTERS,Shatters,1
DISSIDENT,Dissident,1
24,24,1
a phoenix,A Phoenix,1
her pursuers,Her Pursuers,1
27,27,1
dear ones,Dear Ones,1
Several artists,Several Artists,1
One,One,1
Phoenix Chen,Phoenix Chen,1
