location,normalized_name,mentions
CATACOMBS,Catacombs,18
CHROMATIC,Chromatic,14
CHROMATIC CATACOMBS,Chromatic Catacombs,7
city,City,7
sanctuary,Sanctuary,4
THE CHROMATIC CATACOMBS,The Chromatic Catacombs,4
STREET,Street,3
Beacon of Rebellion,Beacon Of Rebellion,2
Sector seven,Sector Seven,2
labyrinth,Labyrinth,2
The Compound,The Compound,2
home,Home,2
quantum server stacks,Quantum Server Stacks,2
The Peaceful Sanctuary,The Peaceful Sanctuary,2
detention centers,Detention Centers,1
New Singapore,New Singapore,1
workspace,Workspace,1
THE PERCEPTION FACTORY,The Perception Factory,1
world,World,1
community,Community,1
space,Space,1
The Beacon of Rebellion,The Beacon Of Rebellion,1
The city,The City,1
Marina Bay,Marina Bay,1
old city,Old City,1
district,District,1
platform,Platform,1
digital wilderness,Digital Wilderness,1
prismatic space,Prismatic Space,1
amber-lit tunnel,Amber-Lit Tunnel,1
intersection,Intersection,1
Left tunnel,Left Tunnel,1
tunnels,Tunnels,1
circle,Circle,1
hidden sanctuary,Hidden Sanctuary,1
Home sweet home,Home Sweet Home,1
